ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
16 Feet,West,2.5,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 3Cr,"Bhaisepati, Lalitpur",3.2 aana,2081 BS,,,2
16 Feet,East,2,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 2.9Cr,"Bhaisepati, Lalitpur",3.2 aana,2081 BS,,2,1
18 Feet,South-East,2,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 4.5Cr,"Bhaisepati, Lalitpur",,2081 BS,,1,2
13 Feet,South,3,1 Car  & 2 Bikes,6,4,Un-Furnished,Rs. 2.2Cr,"Gongabu, Kathmandu",,,1200 Sq. Ft.,,2
13 Feet,South-East,2.5,3 Cars  & 9 Bikes,6,5,Semi-Furnished,Rs. 2.9Lac/y,"Baluwatar, Kathmandu",,2065 BS,5000 Sq. Ft.,2,
13 Feet,South,2.5,1 Car  & 4 Bikes,5,4,Un-Furnished,Rs. 2.1Cr,"Bhangal , Kathmandu",,2081 BS,,,1
13 Feet,East,3,1 Car  & 4 Bikes,7,5,Full-Furnished,Rs. 4.25Cr,"Bhaisepati, Lalitpur",,2081 BS,,,1
13 Feet,South-West,2.5,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 3.4Cr,"Karyabinayak, Lalitpur",,2081 BS,,1,2
13 Feet,South,2,1 Car  & 4 Bikes,5,1,Full-Furnished,Rs. 3.45Cr,"Bhaisepati, Lalitpur",,2081 BS,,,1
13 Feet,East,2.5,1 Car  & 4 Bikes,6,4,Un-Furnished,"Rs. 60,000/m","Imadol, Lalitpur",,2081 BS,,2,
20 Feet,East,3,2 Cars  & 4 Bikes,5,4,Full-Furnished,Rs. 1.5Lac/m,"Bhaisepati, Lalitpur",,2081 BS,,,2
16 Feet,South,2.5,5 Cars  & 9 Bikes,6,4,,Rs. 3Lac/m,"Chundevi, Kathmandu",,,,1,2
20 Feet,East,3,1 Car  & 4 Bikes,8,5,Un-Furnished,Rs. 4.35Cr,"Bhaisepati, Lalitpur",,2081 BS,,,
13 Feet,East,2.5,1 Car  & 4 Bikes,5,5,Semi-Furnished,Rs. 2.5Cr,"Boshigaun, Kathmandu",3.2 aana,2078 BS,1800 Sq. Ft.,,1
16 Feet,East,3,2 Cars  & 4 Bikes,6,4,Full-Furnished,Rs. 6.5Cr,"Bhaisepati, Lalitpur",5.2 aana,2081 BS,,1,1
13 Feet,East,3,3 Cars  & 4 Bikes,6,4,Full-Furnished,Rs. 15Cr,"Bhaisepati, Lalitpur",,2081 BS,,2,
20 Feet,West,3.5,1 Car  & 4 Bikes,6,6,Full-Furnished,Rs. 4.35Cr,"Tikathali, Lalitpur",,2081 BS,2800 Sq. Ft.,2,1
13 Feet,North-East,2,1 Car  & 4 Bikes,6,4,Full-Furnished,Rs. 3Cr,"Bhaisepati, Lalitpur",3.3 aana,2081 BS,,,2
13 Feet,East,3,1 Car  & 4 Bikes,8,5,Full-Furnished,Rs. 4.5Cr,"Karyabinayak, Lalitpur",,2081 BS,,2,1
26 Feet,South-East,5,7 Cars  & 9 Bikes,30,10,Un-Furnished,Rs. 15Lac/m,"Mid Baneshwor, Kathmandu",,,1500 Sq. Ft.,,1
13 Feet,South-East,2,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 2.5Cr,"Nakhipot, Lalitpur",3.2 aana,2081 BS,,2,
14 Feet,West,3,2 Cars  & 4 Bikes,7,4,Semi-Furnished,Rs. 5.05Cr,"Kapan, Kathmandu",,,,,2
13 Feet,South,3,2 Cars  & 5 Bikes,6,3,Un-Furnished,Rs. 11Cr,"Maharajgunj, Kathmandu",,,1800 Sq. Ft.,1,2
20 Feet,North,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 4.25Cr,"Harisiddhi, Lalitpur",7.1 aana,2024 AD,2394 Sq. Ft.,,
26 Feet,West,3,1 Car  & 2 Bikes,5,5,Full-Furnished,Rs. 5.7Cr,"Imadol, Lalitpur",5.2 aana,2024 AD,1710 Sq. Ft.,,
20 Feet,South,3,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.5Cr,"Imadol, Lalitpur",3.1 aana,2024 AD,950 Sq. Ft.,1,2
13 Feet,South,3,1 Car  & 1 Bike,5,4,Semi-Furnished,Rs. 2.9Cr,"Imadol, Lalitpur",,2024 AD,941 Sq. Ft.,,1
13 Feet,North-East,3,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 3.75Cr,"Ochu Height, Lalitpur",4.1 aana,2024 AD,1368 Sq. Ft.,,
13 Feet,East,2,2 Cars  & 4 Bikes,5,4,Full-Furnished,Rs. 1.6Lac/m,"Bhaisepati, Lalitpur",,2081 BS,,,2
11 Feet,South,2.5,1 Car  & 3 Bikes,5,3,,Rs. 1.6Cr,"Thali, Kathmandu",2.2 aana,,,2,1
13 Feet,South-East,3,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 4.25Cr,"Ochu Height, Lalitpur",3.3 aana,2024 AD,1026 Sq. Ft.,1,
14 Feet,North,4,1 Car  & 1 Bike,5,4,Full-Furnished,Rs. 3.3Cr,"Imadol, Lalitpur",3.2 aana,2024 AD,1026 Sq. Ft.,,2
