ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
14 Feet,North-West,3,2 Cars  & 3 Bikes,5,3,Semi-Furnished,Rs. 6Cr,"Suryabinayak, Bhaktapur",,2070 BS,,2,1
13 Feet,West,2.5,1 Car  & 4 Bikes,5,4,Un-Furnished,Rs. 3Cr,"Hepali Height, Kathmandu",,2081 BS,,,2
16 Feet,West,1,1 Car  & 5 Bikes,2,1,Semi-Furnished,Rs. 1.8Cr,"Shital Height, Lalitpur",3.2 aana,2081 BS,1500 Sq. Ft.,,2
20 Feet,East,2.5,1 Car  & 2 Bikes,10,4,Semi-Furnished,Rs. 2.25Cr,"Suryabinayak, Bhaktapur",,2080 BS,,2,2
20 Feet,East,2.5,1 Car  & 5 Bikes,7,6,Full-Furnished,Rs. 2.95Cr,"Kapan, Kathmandu",,2077 BS,2000 Sq. Ft.,,1
20 Feet,East,3,1 Car  & 4 Bikes,5,5,Semi-Furnished,Rs. 3.9Cr,"Imadol, Lalitpur",4.2 aana,2079 BS,2000 Sq. Ft.,1,2
13 Feet,East,2.5,1 Car  & 3 Bikes,5,2,Semi-Furnished,Rs. 1.78Cr,"Suryabinayak, Bhaktapur",2.3 aana,2075 BS,,1,1
16 Feet,East,2.5,1 Car  & 1 Bike,7,3,Un-Furnished,Rs. 1.75Cr,"Kapan, Kathmandu",,,1200 Sq. Ft.,1,2
13 Feet,East,3.5,1 Car  & 1 Bike,8,4,Un-Furnished,Rs. 5.5Cr,"Samakhusi, Kathmandu",,,1800 Sq. Ft.,,2
13 Feet,East,2.5,1 Car  & 4 Bikes,6,5,Full-Furnished,Rs. 2.8Cr,"Imadol, Lalitpur",3.1 aana,2081 BS,2000 Sq. Ft.,,
20 Feet,West,3,2 Cars  & 5 Bikes,6,5,Full-Furnished,Rs. 4.95Cr,"Imadol, Lalitpur",,2081 BS,,2,1
100 Feet,South,1,1 Car  & 1 Bike,2,1,Full-Furnished,Price on call,"Bardibas, Mahottari",0.8 kattha,2077 BS,217.80 Sq. Ft.,,1
13 Feet,South,2.5,1 Car  & 2 Bikes,,,,Rs. 3.5Cr,"Sitapaila, Kathmandu",4.3 aana,,,,
20 Feet,South,2.5,3 Cars  & 5 Bikes,5,4,,Rs. 2.5Lac/y,"Dhapasi, Kathmandu",,,,1,2
13 Feet,South,2.5,1 Car  & 2 Bikes,,,,Rs. 3.1Cr,"Ganesh Chowk, Kathmandu",,,,2,2
10 Feet,North-East,2.5,4 Cars  & 5 Bikes,4,3,Semi-Furnished,Rs. 12Cr,"Baluwatar, Kathmandu",,2075 BS,2500 Sq. Ft.,,1
13 Feet,West,2.5,1 Car  & 4 Bikes,6,3,Semi-Furnished,Rs. 2Cr,"Thankot, Kathmandu",,2080 BS,650 Sq. Ft.,2,1
10 Feet,West,2.5,1 Car  & 3 Bikes,5,2,,Rs. 1.65Cr,"Thankot, Kathmandu",3.2 aana,2080 BS,690 Sq. Ft.,,1
13 Feet,South,3,1 Car  & 1 Bike,6,3,Un-Furnished,Price on call,"Golfutar, Kathmandu",4.1 aana,,1500 Sq. Ft.,2,1
13 Feet,South,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 4.5Cr,"Aakasedhara, Kathmandu",,,1500 Sq. Ft.,,1
13 Feet,West,2.5,1 Car  & 5 Bikes,5,4,,Price on call,"Narayanthan , Kathmandu",,,,,2
13 Feet,South-West,3,9 Cars  & 9 Bikes,6,4,Semi-Furnished,Rs. 3Lac/m,"Jawalakhel, Lalitpur",,2060 BS,3999 Sq. Ft.,2,2
13 Feet,West,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 2.7Cr,"Baluwakhani, Kathmandu",,,1200 Sq. Ft.,2,2
13 Feet,South,3,1 Car  & 1 Bike,9,3,Un-Furnished,Rs. 2.7Cr,"Baluwakhani, Kathmandu",,,1200 Sq. Ft.,1,
16 Feet,South,2.5,1 Car  & 1 Bike,8,3,Un-Furnished,Rs. 2.1Cr,"Baluwakhani, Kathmandu",,,1200 Sq. Ft.,1,1
16 Feet,North,2.5,1 Car  & 1 Bike,7,3,Un-Furnished,Rs. 6.2Cr,"Bhangal , Kathmandu",,,2000 Sq. Ft.,2,1
13 Feet,West,3.5,1 Car  & 4 Bikes,6,5,Semi-Furnished,Rs. 3.25Cr,"Shital Height, Lalitpur",3.1 aana,2081 BS,2200 Sq. Ft.,2,1
13 Feet,North,2.5,1 Car  & 4 Bikes,7,4,Semi-Furnished,Rs. 3.5Cr,"Harhar Mahadev, Kathmandu",4.1 aana,2080 BS,2500 Sq. Ft.,2,1
12 Feet,South-West,3,9 Cars  & 9 Bikes,3,6,Semi-Furnished,Rs. 3Lac/m,"Bansbari, Kathmandu",,2063 BS,3500 Sq. Ft.,,
16 Feet,,2.5,,9,5,Un-Furnished,Price on call,"Baluwatar, Kathmandu",,,2600 Sq. Ft.,2,1
20 Feet,South,2.5,5 Cars  & 5 Bikes,4,4,Semi-Furnished,Rs. 3.25Lac/m,"Budhanilkantha, Kathmandu",,,3500 Sq. Ft.,2,
16 Feet,South,2.5,1 Car  & 5 Bikes,5,4,Un-Furnished,Rs. 1.4Lac/m,"Samakhusi, Kathmandu",7.2 aana,,2600 Sq. Ft.,2,
16 Feet,South,3,3 Cars  & 25 Bikes,,4,Un-Furnished,Rs. 6Lac/m,"Thamel, Kathmandu",,,3500 Sq. Ft.,1,2
13 Feet,North,3.5,4 Cars  & 3 Bikes,4,,Semi-Furnished,Rs. 3.25Cr,"Imadol, Lalitpur",3.3 aana,2081 BS,,,1
20 Feet,North-East,3.5,,10,3,Semi-Furnished,Rs. 3.5Cr,"Sitapaila, Kathmandu",4.3 aana,2071 BS,1800 Sq. Ft.,2,2
10 Feet,East,2.5,,,,,Rs. 2.4Cr,"Dhapasi, Kathmandu",,,,1,2
13 Feet,South,3.5,2 Cars  & 3 Bikes,6,3,,Rs. 6.2Cr,"Budhanilkantha, Kathmandu",7.1 aana,,,1,
16 Feet,South,2.5,1 Car  & 2 Bikes,4,3,Full-Furnished,Rs. 1.3Lac/m,"Pasikot, Kathmandu",,,,2,2
10 Feet,South,4.5,1 Car  & 5 Bikes,9,9,Full-Furnished,Rs. 7Cr,"Dhumbarahi, Kathmandu",,2022 AD,5 Sq. Ft.,,2
13 Feet,,2.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 1.25Lac/m,"Bhaisepati, Lalitpur",,,,2,1
16 Feet,East,2,1 Car  & 1 Bike,4,3,Un-Furnished,Rs. 5.75Cr,"Hepali Height, Kathmandu",,,1500 Sq. Ft.,,
10 Feet,South,2,7 Cars  & 1 Bike,4,3,Un-Furnished,Rs. 3Cr,"Panchetar, Kathmandu",4.5 aana,,1500 Sq. Ft.,1,
12 Feet,East,2.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 2.9Cr,"Hattiban, Lalitpur",,2068 BS,1000 Sq. Ft.,,2
18 Feet,South-West,3.5,4 Cars  & 3 Bikes,7,3,Semi-Furnished,Rs. 3.8Cr,"Sitapaila, Kathmandu",5.3 aana,2080 BS,,1,2
13 Feet,,1.5,,4,1,Un-Furnished,Rs. 1.25Cr,"Nagdhunga, Kathmandu",,2068 BS,,,1
13 Feet,North,2.5,1 Car  & 4 Bikes,6,3,Semi-Furnished,Rs. 2.75Cr,"Kadaghari, Kathmandu",3.3 aana,2080 BS,2000 Sq. Ft.,,1
18 Feet,South-West,3.5,1 Car  & 4 Bikes,4,4,Semi-Furnished,Rs. 2.9Cr,"Gothatar, Kathmandu",3.1 aana,2080 BS,2200 Sq. Ft.,2,2
16 Feet,East,2.5,1 Car  & 3 Bikes,5,6,Full-Furnished,Rs. 3.25Cr,"Sanobharyang, Kathmandu",,2074 BS,,,2
12 Feet,South,2.5,3 Cars  & 8 Bikes,8,5,Un-Furnished,Price on call,"Galkopakha, Kathmandu",,2076 BS,4000 Sq. Ft.,2,2
13 Feet,West,3,2 Cars  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.65Cr,"Tikathali, Lalitpur",3.3 aana,2081 BS,,2,
13 Feet,North-East,2.5,3 Cars,5,4,Semi-Furnished,Rs. 7.75Cr,"Dholahiti, Lalitpur",10.2 aana,,,2,1
20 Feet,East,2.5,1 Car  & 4 Bikes,6,4,Un-Furnished,Rs. 3.5Cr,"Dhapasi, Kathmandu",3.3 aana,2072 BS,,2,2
8 Meter,North-East,2.5,1 Car,3,3,Full-Furnished,Rs. 5.25Cr,"Hattiban, Lalitpur",4.3 aana,2072 BS,2200 Sq. Ft.,1,2
20 Feet,East,2,2 Cars  & 5 Bikes,4,4,Un-Furnished,Rs. 1.7Lac/m,"Soltimode, Kathmandu",,2073 BS,3000 Sq. Ft.,2,
13 Feet,East,2.5,1 Car  & 4 Bikes,,8,Un-Furnished,Rs. 4.5Cr,"Samakhusi, Kathmandu",,2063 BS,,,
20 Feet,East,2.5,1 Car  & 1 Bike,4,3,Un-Furnished,"Rs. 70,000/m","Thecho, Lalitpur",,,2000 Sq. Ft.,2,1
20 Feet,South,2.5,5 Cars  & 6 Bikes,6,3,Un-Furnished,Rs. 2.75Lac/m,"Baluwatar, Kathmandu",,,2500 Sq. Ft.,2,
13 Feet,North,1,1 Car  & 1 Bike,2,1,Un-Furnished,Rs. 1.7Cr,"Kharibot, Kathmandu",,,1500 Sq. Ft.,1,2
13 Feet,East,2.5,1 Car  & 1 Bike,8,3,Un-Furnished,Rs. 1.9Cr,"Paiyuntar, Kathmandu",,,1200 Sq. Ft.,,2
14 Feet,North,3,1 Car  & 1 Bike,7,3,Un-Furnished,Rs. 3.2Cr,"Budhanilkantha, Kathmandu",4.1 aana,,1500 Sq. Ft.,,
13 Feet,South,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 2.75Cr,"Kapan, Kathmandu",,,1200 Sq. Ft.,1,1
13 Feet,South,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 3.6Cr,"Kapan, Kathmandu",4.2 aana,,1500 Sq. Ft.,2,
32 Feet,South,2,1 Car  & 1 Bike,3,3,Un-Furnished,Rs. 1.6Cr,"Kapan, Kathmandu",,,1200 Sq. Ft.,2,
13 Feet,South,3,1 Car  & 1 Bike,7,4,Un-Furnished,Rs. 3.1Cr,"Kapan, Kathmandu",4.1 aana,,1500 Sq. Ft.,2,
22 Feet,North-East,4,5 Cars  & 9 Bikes,10,9,Semi-Furnished,Rs. 6Cr,"Machhegaun , Kathmandu",12.1 aana,2075 BS,4499 Sq. Ft.,,2
10 Feet,West,2.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 2.9Cr,"Hattiban, Lalitpur",,2070 BS,1000 Sq. Ft.,,
13 Feet,North,2.5,1 Car  & 2 Bikes,3,,,Rs. 5Cr,"Bhangal , Kathmandu",,,,,1
14 Feet,South-East,3.5,3 Cars  & 4 Bikes,,4,,Rs. 10.5Cr,"Tarkeshwor, Kathmandu",16.2 aana,,,1,2
7 Feet,East,3,1 Car  & 2 Bikes,8,3,Un-Furnished,Price on call,"Thamel, Kathmandu",3.3 aana,2001 AD,1369 Sq. Ft.,2,2
9 Feet,East,1,1 Car  & 5 Bikes,2,1,Semi-Furnished,Rs. 1.75Cr,"Harhar Mahadev, Kathmandu",3.2 aana,2081 BS,2000 Sq. Ft.,,1
13 Feet,North,3,1 Car  & 4 Bikes,4,4,Full-Furnished,Rs. 3.6Cr,"Shital Height, Lalitpur",,2080 BS,2000 Sq. Ft.,2,1
13 Feet,West,3,1 Car  & 5 Bikes,6,4,Full-Furnished,Rs. 3.95Cr,"Imadol, Lalitpur",4.3 aana,2081 BS,2499 Sq. Ft.,2,1
14 Feet,West,2.5,1 Car  & 2 Bikes,,,,Price on call,"Kapan, Kathmandu",4.3 aana,,,2,1
18 Feet,South,2.5,1 Car  & 4 Bikes,4,5,Semi-Furnished,"Rs. 80,000/m","Budhanilkantha, Kathmandu",3.2 aana,2080 BS,2499 Sq. Ft.,2,1
15 Feet,South,2.5,2 Cars  & 2 Bikes,4,4,Full-Furnished,Rs. 1.3Lac/m,"Dhobighat, Lalitpur",,,,2,2
16 Feet,South,3,4 Cars  & 7 Bikes,9,4,Un-Furnished,Rs. 1.5Lac/m,"Hattisar, Kathmandu",,,,2,
16 Feet,South,3,2 Cars  & 4 Bikes,4,4,Un-Furnished,"Rs. 90,000/m","Sunakothi, Lalitpur",,,1497 Sq. Ft.,2,1
20 Feet,South,2.5,1 Car  & 2 Bikes,5,5,Full-Furnished,Rs. 1.5Lac/y,"Golfutar, Kathmandu",3.2 aana,,,,2
13 Feet,West,3,1 Car  & 1 Bike,6,6,,Rs. 3.5Cr,"Budhanilkantha, Kathmandu",4.1 aana,,1500 Sq. Ft.,2,1
13 Feet,South,3.5,2 Cars  & 4 Bikes,7,6,Full-Furnished,Rs. 5.5Cr,"Imadol, Lalitpur",5.1 aana,2081 BS,3700 Sq. Ft.,1,1
12 Feet,South,2.5,1 Car  & 3 Bikes,4,4,Semi-Furnished,Rs. 2.5Cr,"Raniban, Kathmandu",,2080 BS,,2,2
20 Feet,North-East,3.5,5 Cars,5,5,Semi-Furnished,Rs. 5.5Cr,"Nakhipot, Lalitpur",,2024 AD,4611.52 Sq. Ft.,,2
20 Feet,South-East,2,10 Cars,5,5,Semi-Furnished,Rs. 7Lac/m,"Budhanilkantha, Kathmandu",,,,2,1
11 Feet,South,2.5,1 Car  & 4 Bikes,5,5,Full-Furnished,Rs. 3Cr,"Kavresthali, Kathmandu",5.2 aana,2079 BS,,2,1
20 Feet,North-West,2.5,1 Car  & 5 Bikes,4,4,Semi-Furnished,Rs. 3.25Cr,"Imadol, Lalitpur",3.2 aana,2080 BS,2200 Sq. Ft.,,
26 Feet,South-East,2.5,4 Cars  & 5 Bikes,5,6,Full-Furnished,Rs. 2.5Lac/y,"Bhaisepati, Lalitpur",,,,2,
8 Feet,West,2.5,2 Cars,,,,Rs. 2.75Cr,"Gaushala, Kathmandu",3.1 aana,,,1,2
13 Feet,South-West,2.5,,,,,Price on call,"Bansbari, Kathmandu",,,,2,1
16 Feet,East,2.5,,,,,Rs. 1.5Cr,"Gatthaghar, Bhaktapur",2.2 aana,,,1,2
16 Feet,South-West,4,1 Car  & 2 Bikes,,,,Rs. 4Cr,"Gokarna, Kathmandu",,,,2,
13 Feet,West,2.5,3 Cars  & 5 Bikes,,,,Rs. 2Lac/m,"Thulobharyang, Kathmandu",,,,,2
10 Feet,South-East,4,2 Cars  & 2 Bikes,,,,Rs. 1.2Lac/m,"Bijeshwori, Kathmandu",,,,1,2
12 Feet,North,3,1 Bike,,,,Rs. 2Cr,"Sitapaila, Kathmandu",,,,2,2
12 Feet,South,2.5,1 Bike,9,,,Rs. 1.8Cr,"Manamaiju, Kathmandu",2.3 aana,,,,
13 Feet,South-East,2,2 Cars  & 2 Bikes,6,5,Semi-Furnished,Rs. 3.5Cr,"Wasik, Kathmandu",,2080 BS,,2,2
20 Feet,East,2.5,4 Cars  & 5 Bikes,4,6,Semi-Furnished,Price on call,"Narayanthan , Kathmandu",10.3 aana,2081 BS,,2,
20 Feet,North,2.5,1 Car  & 1 Bike,6,2,Un-Furnished,Rs. 3.2Cr,"Gothatar, Kathmandu",3.2 aana,,1500 Sq. Ft.,,1
12 Feet,South,2.5,1 Car  & 2 Bikes,4,3,Un-Furnished,"Rs. 45,000/m","Dhapakhel, Lalitpur",,,1500 Sq. Ft.,2,1
13 Feet,South,2.5,3 Cars  & 5 Bikes,5,2,Un-Furnished,Rs. 2.2Lac/m,"Gairidhara, Kathmandu",,,2500 Sq. Ft.,1,2
13 Feet,North,3,1 Car  & 1 Bike,9,4,Un-Furnished,Rs. 7.25Cr,"Baluwatar, Kathmandu",,,2200 Sq. Ft.,1,2
13 Feet,South,2.5,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 1Lac/m,"Mid Baneshwor, Kathmandu",,,1500 Sq. Ft.,1,2
13 Feet,East,3,1 Car  & 1 Bike,8,4,Un-Furnished,Rs. 3Cr,"Basundhara, Kathmandu",6.2 aana,,1800 Sq. Ft.,1,2
13 Feet,South,2.5,1 Car  & 1 Bike,5,2,Un-Furnished,"Rs. 55,000/m","Satdobato, Lalitpur",,,1500 Sq. Ft.,,1
16 Feet,North,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 4.75Cr,"Baluwatar, Kathmandu",,,1800 Sq. Ft.,2,1
20 Feet,East,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 4.75Cr,"Baluwatar, Kathmandu",,,1800 Sq. Ft.,1,1
13 Feet,East,2.5,1 Car  & 2 Bikes,6,3,Un-Furnished,Rs. 3.5Cr,"Lazimpat, Kathmandu",3.2 aana,,1500 Sq. Ft.,2,
16 Feet,West,3,1 Car  & 1 Bike,7,3,Un-Furnished,Rs. 4Cr,"Samakhusi, Kathmandu",,,1500 Sq. Ft.,1,2
20 Feet,West,4,4 Cars  & 9 Bikes,10,7,Un-Furnished,Rs. 16Cr,"Samakhusi, Kathmandu",,,3000 Sq. Ft.,1,2
16 Feet,South,2.5,1 Car  & 1 Bike,6,3,Un-Furnished,"Rs. 50,000/m","Lazimpat, Kathmandu",,,1500 Sq. Ft.,1,1
16 Feet,South,2.5,1 Car  & 1 Bike,8,5,Un-Furnished,Rs. 1.7Cr/m,"Buddhanagar, Kathmandu",,,2000 Sq. Ft.,1,
20 Feet,South,2.5,1 Car  & 1 Bike,9,2,Un-Furnished,Rs. 2Cr,"Basundhara, Kathmandu",2.3 aana,,1000 Sq. Ft.,2,2
8 Feet,North-East,2.5,3 Bikes,5,3,Semi-Furnished,Rs. 3Cr,"Buddhanagar, Kathmandu",,,,2,
11 Feet,East,3.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 2.5Cr,"Kapan, Kathmandu",,2078 BS,,,
8 Feet,North,2.5,1 Car,5,3,Semi-Furnished,Rs. 5Cr,"Buddhanagar, Kathmandu",,,,2,1
13 Feet,North,2.5,1 Car  & 1 Bike,4,5,Semi-Furnished,Rs. 3.65Cr,"Bhaisepati, Lalitpur",,2077 BS,,1,1
13 Feet,South,2.5,2 Cars  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.5Cr,"Imadol, Lalitpur",,2080 BS,00 Sq. Ft.,2,2
26 Feet,South-East,2,7 Cars  & 10 Bikes,5,6,Full-Furnished,Rs. 2.5Lac,"Bhaisepati, Lalitpur",,,,1,
20 Feet,East,2.5,1 Car  & 2 Bikes,4,3,Semi-Furnished,Rs. 2.25Cr,"Golfutar, Kathmandu",3.2 aana,,,,
11 Feet,East,2.5,5 Cars  & 5 Bikes,7,6,Semi-Furnished,Rs. 1.25Lac/m,"Dhobighat, Lalitpur",,2081 BS,,,2
20 Feet,North-East,2.5,3 Cars  & 5 Bikes,4,5,Full-Furnished,Rs. 6.25Cr,"Bhaisepati, Lalitpur",6.2 aana,2080 BS,3000 Sq. Ft.,1,2
20 Feet,North-East,3,1 Car  & 4 Bikes,6,5,Semi-Furnished,Rs. 2.35Cr,"Gothatar, Kathmandu",,2081 BS,2000 Sq. Ft.,,2
13 Feet,East,,2 Cars  & 5 Bikes,6,5,,Rs. 8.5Cr,"Rudreshwor, Kathmandu",,2081 BS,,2,1
13 Feet,South-East,3,1 Car  & 3 Bikes,9,3,Semi-Furnished,Rs. 3Cr,"Goldhunga, Kathmandu",6.1 aana,2078 BS,,2,1
13 Feet,South,2.5,4 Cars  & 3 Bikes,7,5,Semi-Furnished,Rs. 2.75Cr,"Imadol, Lalitpur",3.3 aana,2080 BS,00 Sq. Ft.,,1
12 Feet,,2.5,1 Car  & 3 Bikes,5,5,Semi-Furnished,Rs. 2.2Cr,"Goldhunga, Kathmandu",3.2 aana,2080 BS,,1,2
13 Feet,North-West,3.5,1 Car  & 2 Bikes,5,6,Semi-Furnished,Rs. 2.7Cr,"Goldhunga, Kathmandu",,2080 BS,,2,
20 Feet,North-East,3,1 Car  & 4 Bikes,7,4,Semi-Furnished,Rs. 2.7Cr,"Gothatar, Kathmandu",3.1 aana,2080 BS,1999 Sq. Ft.,1,1
13 Feet,South-East,3,1 Car  & 4 Bikes,5,4,Semi-Furnished,Rs. 2.45Cr,"Bhandari Marg, Lalitpur",3.2 aana,2081 BS,2000 Sq. Ft.,2,
20 Feet,West,2.5,1 Car  & 4 Bikes,5,4,Semi-Furnished,Rs. 2.8Cr,"Kadaghari, Kathmandu",3.1 aana,2081 BS,,,
12 Feet,West,2.5,1 Car  & 4 Bikes,7,5,Semi-Furnished,Rs. 2.8Cr,"Kadaghari, Kathmandu",3.1 aana,2081 BS,,,1
13 Feet,West,3,1 Car  & 2 Bikes,6,5,Semi-Furnished,Rs. 3.25Cr,"Budhanilkantha, Kathmandu",3.1 aana,2081 BS,,,2
13 Feet,South-East,2.5,1 Car  & 2 Bikes,6,6,Semi-Furnished,Rs. 3Cr,"Kapan, Kathmandu",3.1 aana,2081 BS,,2,2
12 Feet,South-West,2.5,1 Car  & 3 Bikes,6,3,Semi-Furnished,Rs. 3.5Cr,"Budhanilkantha, Kathmandu",,2080 BS,,,2
13 Feet,South-East,2.5,1 Car  & 4 Bikes,4,5,Full-Furnished,Rs. 3.6Cr,"Chapali, Kathmandu",3.3 aana,2081 BS,2200 Sq. Ft.,1,1
13 Feet,,2.5,1 Car,6,5,Semi-Furnished,Rs. 3.85Cr,"Chunikhel, Kathmandu",,2081 BS,,1,
13 Feet,South,2.5,2 Cars  & 2 Bikes,6,6,Semi-Furnished,Rs. 4.75Cr,"Bhaisepati, Lalitpur",4.2 aana,2080 BS,,2,
13 Feet,South,2.5,2 Cars  & 2 Bikes,7,7,Semi-Furnished,Rs. 3.85Cr,"Bhaisepati, Lalitpur",,2081 BS,,1,2
13 Feet,North-East,2.5,1 Car  & 3 Bikes,7,7,Semi-Furnished,Price on call,"Chapali, Kathmandu",4.1 aana,2081 BS,,2,
13 Feet,West,2.5,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 3.8Cr,"Ganesh Chowk, Kathmandu",,2081 BS,,,
13 Feet,West,3,1 Car  & 5 Bikes,5,5,Semi-Furnished,Rs. 2.4Cr,"Bhandari Marg, Lalitpur",3.1 aana,2081 BS,2000 Sq. Ft.,2,1
10 Feet,West,2.5,4 Bikes,4,3,Full-Furnished,Rs. 2.4Cr,"Hattidanda, Kathmandu",,2019 AD,,1,1
13 Feet,East,2.5,2 Cars  & 2 Bikes,3,3,Full-Furnished,Rs. 1.2Lac/m,"New Baneshwor, Kathmandu",,,,,1
13 Feet,West,2.5,4 Cars  & 9 Bikes,5,5,Semi-Furnished,Rs. 2.5Lac/m,"Narayanthan , Kathmandu",,,,2,2
13 Feet,East,2.5,2 Cars  & 5 Bikes,5,5,Semi-Furnished,Rs. 6.5Cr,"Kalanki, Kathmandu",,2078 BS,,2,1
16 Feet,South,3,1 Car  & 1 Bike,7,4,Un-Furnished,Rs. 3.3Cr,"Samakhusi, Kathmandu",5.5 aana,,2000 Sq. Ft.,2,
16 Feet,South,2.5,1 Car  & 1 Bike,4,3,Un-Furnished,"Rs. 65,000/m","Bhaisepati, Lalitpur",,,1500 Sq. Ft.,2,1
13 Feet,East,3,1 Car  & 1 Bike,6,3,Un-Furnished,Rs. 2.35Cr,"Tokha, Kathmandu",3.1 aana,,1000 Sq. Ft.,2,2
20 Feet,South-East,2.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.85Cr,"Lubhu, Lalitpur",3.2 aana,2081 BS,2471 Sq. Ft.,1,
20 Feet,South,2,1 Car  & 1 Bike,6,2,Un-Furnished,Rs. 3Cr,"Basundhara, Kathmandu",4.5 aana,,1500 Sq. Ft.,1,
20 Feet,South,2,1 Car  & 1 Bike,9,2,Un-Furnished,Rs. 2Cr,"Basundhara, Kathmandu",2.3 aana,,1000 Sq. Ft.,2,2
16 Feet,South,1,1 Car  & 1 Bike,2,1,Un-Furnished,Rs. 1.6Cr,"Dhaneshwor, Kathmandu",3.5 aana,,1500 Sq. Ft.,,
16 Feet,North,1,1 Car  & 2 Bikes,6,3,Full-Furnished,Rs. 2.8Cr,"Samakhusi, Kathmandu",,,1500 Sq. Ft.,,2
13 Feet,West,2.5,3 Cars  & 1 Bike,6,3,Semi-Furnished,Price on call,"Kapan, Kathmandu",3.2 aana,2080 BS,,2,1
13 Feet,East,2.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.3Cr,"Sitapaila, Kathmandu",3.1 aana,,,1,1
11 Feet,East,3,3 Cars  & 3 Bikes,7,6,Semi-Furnished,Rs. 1.8Lac/m,"Ratopool, Kathmandu",,2062 BS,,1,2
12 Feet,South-East,3.5,1 Car  & 3 Bikes,5,3,Full-Furnished,Rs. 3Cr,"Jagdol, Kathmandu",,2079 BS,,1,2
13 Feet,South-East,2.5,1 Car  & 3 Bikes,4,4,Semi-Furnished,Rs. 2.3Cr,"Ochu Height, Lalitpur",2.3 aana,2081 BS,2150 Sq. Ft.,2,
13 Feet,North,3.5,1 Car  & 1 Bike,8,6,Full-Furnished,Rs. 3.7Cr,"Dharmasthali, Kathmandu",,2079 BS,,2,
26 Feet,South-West,2.5,,7,3,Semi-Furnished,Rs. 2.1Cr,"Godawari, Lalitpur",,2078 BS,2430 Sq. Ft.,,2
13 Feet,South,2.5,3 Cars  & 5 Bikes,3,5,Semi-Furnished,"Rs. 70,000/m","Chobhar, Kathmandu",6.2 aana,2078 BS,,1,
15 Feet,South,2.5,1 Car  & 4 Bikes,4,4,Full-Furnished,Rs. 1.79Lac/m,"Sanepa, Lalitpur",,2074 BS,2200 Sq. Ft.,1,
13 Feet,East,2.5,2 Cars  & 2 Bikes,5,6,Semi-Furnished,Rs. 4.85Cr,"Dholahiti, Lalitpur",,2081 BS,,1,2
16 Feet,East,2.5,2 Cars  & 2 Bikes,5,6,Semi-Furnished,Rs. 1.7Lac/m,"Bansbari, Kathmandu",,2075 BS,,2,2
13 Feet,South-East,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 2.45Cr,"Kalanki, Kathmandu",,2.8 BS,,,2
13 Feet,South-East,2,20 Cars  & 20 Bikes,,,Semi-Furnished,Rs. 3.7Lac/m,"Kamalpokhari, Kathmandu",,,,2,
10 Feet,East,2.5,1 Car  & 2 Bikes,6,3,Semi-Furnished,Rs. 2.4Cr,"Kalanki, Kathmandu",,2080 BS,,2,
20 Feet,West,2.5,1 Car  & 3 Bikes,6,4,Semi-Furnished,Rs. 2.75Cr,"Gothatar, Kathmandu",3.1 aana,2080 BS,,2,1
20 Feet,West,2.5,2 Cars  & 3 Bikes,4,5,Semi-Furnished,"Rs. 60,000/m","Bhaisepati, Lalitpur",4.1 aana,2076 BS,,,2
16 Feet,North,2.5,2 Cars  & 2 Bikes,5,5,Semi-Furnished,Rs. 2.69Cr,"Nakkhu, Lalitpur",3.2 aana,2081 BS,,2,
13 Feet,South,2.5,2 Cars  & 2 Bikes,5,3,Semi-Furnished,Rs. 5.5Cr,"Sukedhara, Kathmandu",7.2 aana,2066 BS,2566.87 Sq. Ft.,1,
13 Feet,South-West,2.5,9 Cars  & 9 Bikes,9,5,,Rs. 4.5Lac/m,"Kupandole, Lalitpur",30.2 aana,,,2,1
13 Feet,North,3.5,1 Car  & 3 Bikes,8,5,Semi-Furnished,Rs. 2.8Cr,"Dhaneshwor, Kathmandu",,2081 BS,1369.00 Sq. Ft.,2,1
14 Feet,South,2.5,1 Car  & 1 Bike,6,5,Semi-Furnished,Rs. 4.25Cr,"Dholahiti, Lalitpur",4.1 aana,2081 BS,,,1
